as_of,geo_value,signal,source,time_type,time_value,issue,value,target_end_date
2024-11-20,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-11-17,1.0,2024-10-19
2024-11-20,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-11-17,3.0,2024-10-26
2024-11-20,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-11-17,7.0,2024-11-02
2024-11-20,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-11-17,5.0,2024-11-09
2024-11-20,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-11-17,7.0,2024-11-16
2024-11-27,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-11-24,1.0,2024-10-19
2024-11-27,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-11-24,3.0,2024-10-26
2024-11-27,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-11-24,8.0,2024-11-02
2024-11-27,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-11-24,5.0,2024-11-09
2024-11-27,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-11-24,9.0,2024-11-16
2024-11-27,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-11-24,5.0,2024-11-23
2024-12-04,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-01,1.0,2024-10-19
2024-12-04,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-01,3.0,2024-10-26
2024-12-04,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-01,8.0,2024-11-02
2024-12-04,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-01,5.0,2024-11-09
2024-12-04,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-01,9.0,2024-11-16
2024-12-04,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-01,5.0,2024-11-23
2024-12-04,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-01,9.0,2024-11-30
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-08,1.0,2024-10-19
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-08,3.0,2024-10-26
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-08,8.0,2024-11-02
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-08,5.0,2024-11-09
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-08,9.0,2024-11-16
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-08,5.0,2024-11-23
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-08,9.0,2024-11-30
2024-12-11,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-08,14.0,2024-12-07
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-15,1.0,2024-10-19
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-15,3.0,2024-10-26
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-15,8.0,2024-11-02
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-15,5.0,2024-11-09
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-15,9.0,2024-11-16
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-15,5.0,2024-11-23
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-15,9.0,2024-11-30
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-15,17.0,2024-12-07
2024-12-18,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2024-12-15,23.0,2024-12-14
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-22,1.0,2024-10-19
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-22,3.0,2024-10-26
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-22,8.0,2024-11-02
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-22,5.0,2024-11-09
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-22,9.0,2024-11-16
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-22,5.0,2024-11-23
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-22,9.0,2024-11-30
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-22,17.0,2024-12-07
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2024-12-22,23.0,2024-12-14
2024-12-25,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2024-12-22,15.0,2024-12-21
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-29,1.0,2024-10-19
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-29,3.0,2024-10-26
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-29,8.0,2024-11-02
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-29,5.0,2024-11-09
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-29,9.0,2024-11-16
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-29,5.0,2024-11-23
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-29,9.0,2024-11-30
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-29,17.0,2024-12-07
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2024-12-29,25.0,2024-12-14
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2024-12-29,18.0,2024-12-21
2025-01-01,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2024-12-29,17.0,2024-12-28
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-05,1.0,2024-10-19
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-05,3.0,2024-10-26
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-05,8.0,2024-11-02
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-05,5.0,2024-11-09
